Age	Education	Income	Unemployment	Balance
19.5	16.1	15395	9.6	5956
22.2	17	15415	7.8	62269
23.5	13.6	33088	3.1	20834
22	12	14115	3	9071
22.8	12.3	16590	2.5	10436
26.2	14.5	33108	1.3	217812
24.7	12.9	14135	1.2	94835
25.5	13.2	16610	0.7	109106
28.7	12.1	32574	3.6	14393
29.6	12.1	29375	4.5	13693
29.9	12.3	46528	4.6	21798
30.5	12.8	21433	4.7	11380
30.3	12.2	9354	5.1	9904
30.6	12.3	26565	5.3	17410
31.4	13	32594	5.4	150474
30.8	11.9	17992	5.9	10679
32.3	13	29395	6.3	143156
32.6	13.2	46548	6.4	227890
35.6	16.1	30418	6.5	16854
33.2	13.7	21453	6.5	118975
35.7	16.1	107935	6.6	41032
32.4	12.6	29733	6.8	14620
32.1	12.3	30319	6.8	13677
33	13.1	9374	6.9	103544
33.7	13.8	64601	6.9	27877
32.7	12.6	47923	7.1	20826
33.3	13.2	26585	7.1	182016
33.8	13.6	76771	7.2	37996
32.7	12.3	34688	7.4	20082
32.9	12.4	37813	7.5	19196
32.7	12.2	35625	7.5	17077
33.5	12.8	18012	7.7	111646
33.4	12.6	54986	7.8	24671
33.6	12.7	57390	7.9	27396
33.6	12.7	64792	7.9	32677
33.1	12.2	37287	7.9	19343
33.2	12.3	31250	7.9	18959
33.5	12.5	41795	8	21556
35.9	14.8	91033	8.1	38517
34.8	13.7	75591	8.1	36708
38.3	17	30438	8.3	176203
34	12.6	20578	8.4	14095
38.4	17	107955	8.4	428973
34.4	12.8	60753	8.6	26773
34.3	12.7	61446	8.6	28018
34.8	13.2	30339	8.6	142989
35.1	13.5	29753	8.6	152847
34.4	12.7	65625	8.7	29127
36.4	14.7	64621	8.7	291443
33.9	12.1	32813	8.8	26405
34.3	12.4	42944	8.9	22275
35.4	13.5	47943	8.9	217728
36.5	14.5	76791	9	397233
35.3	13.2	70639	9.1	33434
35.3	13.2	64879	9.1	28162
35.4	13.2	34708	9.2	209950
34.8	12.5	42401	9.3	21572
35	12.7	48182	9.3	25280
35.6	13.3	37833	9.3	200687
35.4	13.1	35645	9.3	178534
34.9	12.5	55273	9.4	26114
36.6	14.1	56803	9.5	29198
34.9	12.4	52392	9.5	24650
35.3	12.7	51419	9.6	24558
36.1	13.5	55006	9.6	257926
36.6	13.9	76507	9.7	34811
36.3	13.6	57410	9.7	286415
36.3	13.6	64812	9.7	341625
35.8	13.1	37307	9.7	202224
35.9	13.2	31270	9.7	198210
35.6	12.8	37784	9.8	19125
35.1	12.3	45521	9.8	23293
36.1	13.3	36492	9.8	20572
36.2	13.4	41815	9.8	225360
36	13.1	64894	9.9	32387
36.4	13.5	55609	9.9	24672
37	14.1	59842	9.9	29347
38.6	15.7	91053	9.9	402680
