Region	Type	Price	Cost
S	C	348744	53000.00
S	C	274455	41000.00
S	C	277720	44650.00
S	C	307373	41292.00
S	C	271105	45000.00
S	C	262740	44900.00
S	C	175000	28000.00
S	C	201700	40940.00
S	C	283440	50900.00
S	C	185160	29000.00
S	C	323716	34500.00
S	C	281487	57285.00
S	C	184460	22300.00
S	C	289000	44000.00
S	C	410810	66500.00
S	C	184210	28000.00
S	C	223890	28000.00
S	C	189120	35000.00
S	C	230440	33000.00
S	C	330486	35000.00
S	C	250005	33000.00
S	C	203950	33000.00
S	C	230555	28000.00
S	C	183370	28000.00
S	R	112740	20700.00
S	R	179365	32200.00
S	R	155870	24650.00
S	R	155270	19600.00
S	R	116415	19600.00
S	R	147905	24650.00
S	R	139955	30400.00
S	R	184873	33400.00
S	R	212079	33400.00
S	R	265500	35800.00
S	R	175470	28600.00
S	R	115350	18030.00
S	R	85145	17030.00
S	R	139435	29155.00
S	R	133070	24455.00
S	C	165220	25500.00
S	C	136530	25500.00
S	C	153845	27500.00
S	C	165350	25000.00
S	C	168354	27316.00
S	C	170000	25200.00
S	C	210380	33856.00
S	C	268210	29700.00
S	C	233900	44200.00
S	C	168500	33000.00
S	C	248500	20000.00
S	C	220257	31300.00
S	C	214900	31300.00
S	C	211513	31300.00
S	C	188603	31300.00
S	R	187390	27000.00
MW	R	335000	68375.00
MW	R	294450	73400.00
MW	R	267060	73400.00
MW	R	250800	73400.00
MW	R	269410	73400.00
MW	R	267640	73400.00
MW	R	260100	73400.00
MW	C	301500	59000.00
MW	C	309075	82250.00
MW	C	290190	82250.00
MW	C	322920	82250.00
MW	C	319602	82250.00
MW	C	294990	57000.00
MW	C	286758	57000.00
MW	C	352781	60000.00
MW	C	310372	60000.00
MW	C	400330	75510.00
MW	C	446507	75510.00
MW	R	198202	45025.00
MW	R	200423	45025.00
MW	R	181916	45025.00
MW	R	203076	45025.00
MW	R	196898	45025.00
MW	R	182237	45025.00
MW	R	224108	45025.00
MW	R	230000	45025.00
MW	R	172749	45025.00
MW	C	318274	85800.00
MW	C	191028	45000.00
MW	C	200119	45000.00
MW	C	242899	48252.00
MW	C	387527	48000.00
MW	C	257040	37631.00
MW	C	270518	46499.00
MW	C	265058	41404.00
MW	C	255000	43198.00
MW	C	385942	49123.00
MW	C	354065	48115.00
MW	C	333158	49123.00
MW	C	254048	39680.00
MW	C	246648	41600.00
MW	C	367600	50000.00
MW	C	318523	50000.00
MW	C	359949	50591.00
MW	C	281824	50448.00
MW	C	355688	65373.00
MW	C	305000	49067.00
MW	C	299096	43784.00
MW	C	280622	45130.00
MW	C	404510	58225.00
MW	C	371152	58223.00
MW	C	219990	37557.00
MW	C	432426	57422.00
MW	C	268000	43344.00
MW	C	312898	40768.00
MW	C	267250	45676.00
MW	C	379000	72915.00
MW	C	342423	48309.00
MW	C	337374	70399.00
MW	C	358162	44470.00
MW	C	398651	65429.00
MW	C	280804	40667.00
MW	C	407076	48668.00
MW	C	268500	41099.00
MW	C	444304	53938.00
MW	C	324266	47891.00
MW	C	307387	45850.00
MW	C	369101	46773.00
MW	C	350702	46386.00
MW	C	329611	48611.00
MW	C	242191	33434.00
MW	C	379424	64902.00
MW	C	324412	62523.00
MW	C	340730	50850.00
MW	C	310100	41800.00
MW	C	354117	56219.00
MW	C	330710	49920.00
MW	C	417790	63099.00
MW	C	290000	48300.00
MW	C	274903	45345.00
MW	C	209400	43579.00
MW	C	205821	39299.00
MW	C	287771	46300.00
MW	C	575120	79790.00
MW	C	226000	35600.00
MW	C	216049	35600.00
MW	C	207345	35600.00
MW	C	211797	34000.00
MW	C	204900	34000.00
MW	C	206400	35851.00
MW	C	186000	35851.00
MW	C	249900	38200.00
MW	C	214205	36500.00
MW	C	256235	48500.00
MW	C	262890	48500.00
MW	C	338065	54850.00
MW	C	326570	51000.00
MW	C	239000	39169.00
MW	C	239870	41354.00
MW	C	241195	41340.00
MW	C	252135	41341.00
MW	C	253055	41340.00
MW	C	160000	29500.00
MW	C	337380	49150.00
MW	C	492820	84122.00
MW	C	385000	75000.00
MW	C	340000	40000.00
MW	C	202000	31160.00
MW	C	234971	29202.00
MW	C	225900	28618.00
MW	C	366990	55508.00
MW	C	307663	44840.00
MW	C	379575	44294.00
